R,G,B,RÓTULO,GRUPO
170,128,15,harmonico,1
167,121,5,harmonico,1
177,120,35,harmonico,1
186,67,63,harmonico,2
190,75,64,harmonico,2
169,74,46,harmonico,2
226,19,170,harmonico,3
229,27,168,harmonico,3
217,0,172,harmonico,3
79,59,186,harmonico,4
88,64,185,harmonico,4
74,74,193,harmonico,4
107,97,71,harmonico,5
111,106,66,harmonico,5
104,103,61,harmonico,5
223,36,231,harmonico,6
230,45,239,harmonico,6
229,28,244,harmonico,6
249,141,242,harmonico,7
240,149,239,harmonico,7
255,126,235,harmonico,7
203,108,134,harmonico,8
204,108,140,harmonico,8
218,126,146,harmonico,8
72,45,80,harmonico,9
82,39,82,harmonico,9
66,30,75,harmonico,9
138,102,109,harmonico,10
130,106,112,harmonico,10
145,99,93,harmonico,10
107,247,2,harmonico,11
101,244,7,harmonico,11
122,249,-14,harmonico,11
248,241,149,harmonico,12
247,249,155,harmonico,12
255,226,167,harmonico,12
133,43,44,harmonico,13
143,45,42,harmonico,13
121,26,46,harmonico,13
184,72,69,harmonico,14
187,71,67,harmonico,14
200,79,55,harmonico,14
92,248,160,harmonico,15
84,245,161,harmonico,15
88,255,165,harmonico,15
0,198,108,harmonico,16
-7,189,105,harmonico,16
-1,217,128,harmonico,16
180,61,214,harmonico,17
171,69,212,harmonico,17
194,79,205,harmonico,17
54,87,240,harmonico,18
55,78,246,harmonico,18
46,88,255,harmonico,18
249,119,195,harmonico,19
255,116,194,harmonico,19
249,122,189,harmonico,19
240,232,154,harmonico,20
236,231,164,harmonico,20
229,221,161,harmonico,20
68,14,252,harmonico,21
71,9,255,harmonico,21
61,17,253,harmonico,21
198,223,106,harmonico,22
203,227,111,harmonico,22
179,233,114,harmonico,22
16,53,107,harmonico,23
14,46,107,harmonico,23
25,43,106,harmonico,23
176,191,105,harmonico,24
179,199,107,harmonico,24
163,180,110,harmonico,24
199,208,104,harmonico,25
209,208,94,harmonico,25
214,227,119,harmonico,25
39,20,224,harmonico,26
44,15,226,harmonico,26
29,16,219,harmonico,26
200,57,186,harmonico,27
195,57,187,harmonico,27
192,70,205,harmonico,27
118,244,215,harmonico,28
110,251,206,harmonico,28
105,233,233,harmonico,28
2,45,71,harmonico,29
2,49,77,harmonico,29
-11,55,80,harmonico,29
200,241,255,harmonico,30
206,234,248,harmonico,30
194,225,255,harmonico,30
112,66,145,harmonico,31
107,76,154,harmonico,31
